Event Type:,Place:,Event Date:,Estimated Total Cost:,Comments
Meteorological - Hydrological | Flood,Regional Municipality of Wood Buffalo,"April 26, 2020",Unknown,"On April 26th, the Regional Municipality of Wood Buffalo declared a State of Local Emergency when an ice jam caused flooding along the Athabasca, Snye and Clearwater Rivers. The waters rose as high as 4.5-6 m - some within a matter of hours. As a result of the flooding, roughly 13,000 individuals in the lower townsite were evacuated until May 2nd; this one was of the first major evacuations in the world to take place during the pandemic. Over 1,200 structures (mostly commercial) and vehicles were damaged which caused an estimated $549 million (CAD 2020) in insured losses. As a result of the flood, 1 individual was fatally injured and another taken to hospital when the waters quickly rose along the Athabasca River while they were ATVing near Fort McKay First Nation."
Meteorological - Hydrological | Flood,"Fort Vermilion, Alberta","April 23, 2020",Unknown,"On April 23rd, Mackenzie County, AB, issued an ice jam watch for the Peace River from Sunny Valley to Fort Vermilion. By the end of the day, the county declared a State of Local Emergency as it was expected that the ice run would reach the community of Fort Vermilion within the day. With this, an evacuation alert was issued for residents in low lying areas in North Vermilion and Fort Vermilion. The watch was soon upgraded to a warning, and the evacuation was expanded to include more of the community. Roughly 450 residents were evacuated. On the morning of 27th, the Peace River breached its banks and began to flood the communities. Flood waters rose 2.5 metres and caused extensive damage to homes, businesses and local infrastructure. The waters receded on April 29th, and residents were allowed home on May 2nd. As a result of the flooding, some homes were damaged beyond repair and are being re-built on higher ground to reduce the risk of future flood losses."
Meteorological - Hydrological | Flood,Eastern Canada,"April 18, 2019",Unknown,"Extensive flooding in April and May was experienced across Ontario, Quebec and New Brunswick due to a combination of heavy rainfalls and snow melt. In the Beauce region of Quebec, 154.5 mm of rain fell in April and was one of the first regions to be impacted by the spring floods.
The most severe flooding took place in Quebec where there were over 10,000 evacuees and over 6,600 flooded homes. One person was killed in Pontiac, QC, after the road washed out. In Sainte-Marthe-sur-le-Lac, a suburb of Montreal in the Deux-Montagnes MRC, a 15-23 m rupture in the natural dyke system forced the immediate evacuation of over 5,000 residents and 50 streets were flooded overnight on April 27-28th. Historical water levels were also experienced at the Chute-Bell hydro dam along Riviere Rouge where 50 residents of Grenville-sur-la-Rouge were evacuated due to fears of a dam failure.
States of emergency extended across the 3 provinces, including in Ottawa and Montreal. By the end of April, over a dozen states of emergency had been declared along the Ottawa River and its tributaries alone. Around 2,000 Canadian Forces personnel were deployed, which was more than the number deployed overseas."
Meteorological - Hydrological | Flood,"Kashechewan, Ontario","April 15, 2019",Unknown,"Seasonal flooding along the Albany River forced the evacuation of Kashechewan First Nation, a community of 2,500, to various communities throughout Ontario including Timmins, Kapuskasing, Thunder Bay and Cornwall. The annual evacuation was moved ahead of schedule due to heavy snow."
Meteorological - Hydrological | Flood,Toronto,"August 7, 2018","$80,000,000","A severe overnight storm produced over 70 mm of rain in Toronto; some localized rainfall measured over 120 mm. The rainfall amounts ranged from +100 mm in North York and the downtown area to only 6 mm at Pearson International Airport. Several people had to be rescued from their vehicles due to the urban flooding. Flooding or flood-related water was also reported in Toronto City Hall, Scotiabank Arena, Rogers Centre, and Union Station. This overnight urban flooding event caused over $80 million in insured losses."
Meteorological - Hydrological | Flood,"Regional District of Kootenay Boundary, British Columbia","May 1, 2018",Unknown,"The combination of heavy rains and snowmelt led to an exceptional flooding event in the Regional District of Kootenay Boundary in the spring of 2018 - the worst since 1948. Several waterways including the Kettle and Granby Rivers overtopped their banks. Roughly 350 members of the Canadian Armed Forces were deployed to assist in the flood efforts. They filled 50,000 sandbags, put 80,500 in place, installed protective dams and barriers as well as constructed and reinforced dykes. As a result of the flood, over 3,200 individuals were evacuated for over 10 days, and over 450 buildings were damage or destroyed. Furthermore, over $20 million (CAD 2018) was spent on response and recovery; indirect costs were estimated to be $26 million (CAD 2018)."
Meteorological - Hydrological | Flood,New Brunswick,"April 27, 2018",Unknown,"In early April, the deep snowpacks in parts of New Brunswick were exposed to over 48 hours of warm temperatures of up to 29C. In addition, a total of 152 mm of rain fell over a period of 31 of 32 days. Widespread flooding in the St. John River basin deeply impacted several communities including its capital of Fredericton. 
Every community along the St. John River between Fredericton and St. John experienced high water levels. On April 27th, the water level along the St. John River reached flood stage in Fredericton and Maugerville. By April 30th, the river was above flood stage between Fredericton and St. John. The flood peaked on May 6th from Maugerville to Sheffield-Lakeville Corner, and from the latter to St. John on May 7th reaching record-breaking flood stages for most of these stations.
There were significant disruptions to the transportation network including 150 impacted provincial roads, eroded roadways, weight restrictions on bridges and the closure of parts of the trans-Canada highway between Fredericton and Moncton. According to the Red Cross, as of January 2019, there were 33 individuals still displaced from these floods.
According to Environment and Climate Change Canada, this flood was the largest and most impactful flood in modern New Brunswick history."
Meteorological - Hydrological | Flood,"Kashechewan First Nation, Ontario","April 25, 2018",Unknown,"In the spring of 2018, annual ice break up and flooding threatened the Kashechewan First Nation, and after declarations of an emergency, the Canadian Armed Forces were requested to assist in the evacuations and monitoring the water levels. Roughly 1,672 residents were evacuated to six host communities; the Red Cross also assisted municipal efforts."
Meteorological - Hydrological | Flood,"Grand River, ON","February 16, 2018",Unknown,"The winter of 2018 was one of the coldest on record, which created a very strong icepack throughout the Grand River watershed in Ontario. In addition to this, temperature drops led to the formation of frazil ice – heavy slush in rivers. 
On February 19th, 40-60 mm of rain fell. The combination of frazil ice, ice jams, 40-60 mm of rain, and 50-70mm of melting snowpack caused the water levels of the Grand River to rise rapidly. Ice jams tended to form in Cambridge, Brantford and Cayuga – in Cambridge the ice jam measured 5 km upstream.
The Grand River Conservation Authority issued flood warnings for several communities including Brantford, Cambridge, North Dumfries and Brant County. The first warning was issued on February 16th but by February 18th a warning was issued for the entire watershed. 
Up to 2,200 homes and 4,900 residents were impacted by an evacuation order. In Cambridge, ice and debris damaged city infrastructure, communications and a water main. The City of Brantford declared a State of Emergency. Along the Grand River near Orangeville, a young boy drowned in the floodwaters."
Meteorological - Hydrological | Flood,"Windsor, Ontario","August 28, 2017","$173,000,000","Rain began to fall on August 28th and within 48 hours – 222 mm fell southwest of Windsor, 140-200 mm in Riverside-Tecumseh, and 285 mm in Lasalle. This rain and flood event occurred less than a year after another record setting event in September of 2016. There were almost 2,700 flood-related calls to Windsor’s 311 line. Several public facilities and businesses were also impacted including schools and libraries. Thousands of basements were flooded which resulted in over $173 million in insurance payouts."
