Event Type:,Place:,Event Date:,Estimated Total Cost:,Comments
Meteorological - Hydrological | Storm - Unspecified / Other,"Ontario, Quebec","November 15, 2020",Unknown,"On November 15th, a strong frontal system passed through Ontario and Quebec. The system brought an array of hazardous weather conditions: An EF1 tornado touched down near Georgetown; there were four confirmed downbursts events (Dunnville, New Dundee, Ingersoll, Port Burwell) with wind speeds ranging from 115-135 km/hr; strong winds across much of northeastern and southern Ontario (Port Colborne, for example, recorded maximum wind speeds of 132 km/hr with 10 consecutive hours of winds over 80 km/hr); and a significant seiche in Lake Erie (4 m sea level difference between Toledo, Ohio, and Buffalo, New York). As a result, this system generated widespread damage across Ontario and into Quebec - southwestern Ontario was the most impacted. By the early evening of November 15th, over 1 million individuals were without power in Ontario, Quebec, and the United States. Hydro One reported over 542,000 customers that were affected and over 500 downed hydro poles; power was still not fully restored to all customers by November 19th. Power outages were also reported in Quebec. This event is estimated to have cost $87 million (2020 CAD) in insured losses."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Calgary, Alberta","July 24, 2020",Unknown,"On the afternoon of July 24th, Calgary and its surrounding area experienced a significant hail storm. As a result, over 10,000 claims from Calgary, Drumheller, Airdrie and Strathmore were filed leading to over $135 million (CAD 2020) in insured losses."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Calgary, Alberta","June 13, 2020",Unknown,"On the evening of June 13th, a storm developed over south-central Calgary and rapidly intensified into a severe storm with hail. The storm produced strong winds, heavy rain and hailstones that were bigger than golf balls. The hail caused extensive property and vehicle damage (32,000 vehicles) as well as the destruction of young crops; heavy rains also caused urban flooding. Calgary's northeastern neighbourhoods were the most affected. This is one of Canada's costliest disasters with 63,000 claims (not including crop losses) and an estimated $1.2 billion (CAD 2020) in insured losses."
Meteorological - Hydrological | Storm - Unspecified / Other,Southern BC and Vancouver Island,"January 30, 2020",Unknown,"From January 30th to February 1st, a significant rain event affected parts of Vancouver Island and the Fraser Valley. Port Renfrew on the western coast of Vancouver Island recorded 220.4 mm while Abbotsford recorded 104.1 mm. Flooding and landslides also occurred as a result of the extensive rain. States of Local Emergency were declared in the Cowichan Valley Regional District as well as in the District of Kent. Several roads were washed out or buried under landslide debris, and some telecommunication networks were also affected. In the Cowichan valley area, dozens were evacuated in addition to 40 homes north of Harrison Hot Springs. Hundreds of individuals were also stranded in Hemlock Valley and Sasquatch Mountain ski resort when the main route became blocked by mudslide debris. The rain event also extended into Sumas, Washington, causing an international border crossing to be temporarily closed. This event caused over $42 million in insured losses."
Meteorological - Hydrological | Storm - Unspecified / Other,Eastern Canada,"October 31, 2019",Unknown,"For many communities across eastern Canada, there was an autumn storm forecast for Halloween night in 2019; 20 communities in Quebec postponed trick-or-treating festivities by one night. On Halloween night through to the morning of November 1st, the storm brought rain to the southern regions and snow to the northern regions of the affected area. However, it was the wind, and subsequent waves and storm surges along the shorelines of the Great Lakes that caused the most damage. Strong winds were recorded across eastern Canada (e.g. 129 km/hr in Port Colborne, ON, 107 km/hr in Montreal 102 km/hr in Halifax, and 100 km/hr in St. John's). There were also widespread power outages - 2 million in Quebec were without power. The storm caused over $255 million (CAD 2019)  in insurable losses; $189 million in Quebec, $55 million in Ontario, $3 million in New Brunswick, $2 million in Nova Scotia, $480,000 in Newfoundland and Labrador, and $150,000 in PEI."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,Atlantic Canada,"September 7, 2019",Unknown,"Just after 7:00pm (local) on September 7th, post-tropical storm Dorian made landfall between Sambro and Terence Bay, NS. Although Dorian had transitioned to a post-tropical storm before landfall, it maintained its category 2 intensity with 155 km/hr sustained winds. Dorian brought extensive rain and wind across many parts of Atlantic Canada. The Halifax area, for example, experienced 124 km/hr winds and 102.4 mm of rain. Dorian tracked across Prince Edward Island and then through the Gulf of the St. Lawrence to Newfoundland and Labrador. Stephenville, NL, reported 117 km/hr winds on September 8th. Dorian caused extensive power outages across the impacted areas; 80% of Nova Scotia was without power which was the highest in the history of the province. A request for federal assistance to restore essential services and to help the public was accepted on the 7th. The Canadian Armed Forces deployed up to 450 personnel to help in the efforts. Dorian damaged property and physical infrastructure as well as a significant number of trees and crops. The estimated insurable losses were over $105 million (CAD 2019) with $62.2 million in Nova Scotia, $22.5 million in New Brunswick, $17.5 million in PEI, $2.5 million in Newfoundland and Labrador, and $300,000 in Quebec."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Spruce Grove, Alberta","August 2, 2019",Unknown,"On the evening of August 2nd, a severe storm with significant hail tracked across Edmonton. Spruce Grove - a community west of Edmonton - recorded hail that was 80-120 mm in diameter, while in Edmonton hail was measured at 45-70 mm in diameter. The hail caused an estimated $89.9 million (CAD 2019) in insurable losses; $46.9 million in auto damage, $39.5 million in personal property damage, and $3.4 million in commercial property damage."
Meteorological - Hydrological | Storms and Severe Thunderstorms,British Columbia,"December 22, 2018","$52,765,000","A powerful windstorm caused significant damage to hydro infrastructure in the Fraser Valley, the southern Gulf Island, and Vancouver Island, causing 400,000 BC Hydro customers to lose power. One person was killed in Duncan because of a falling tree."
Meteorological - Hydrological | Tornado,National Capital Region,"September 21, 2018","$334,000,000","On September 21st, 6 tornadoes touched down in and near the National Capital Region. The strongest was an EF-3 that touched down near the City of Ottawa’s rural neighbourhoods of Kinburn and Dunrobin, and tracked almost 40 km across the Ottawa River into the lower Pontiac (Luskville) and the Mont Bleu neighbourhood of Gatineau between 4:40 pm and 5:20 pm. The estimated wind speeds were up to 265 km/hr. 
An EF-2 tornado, the second largest tornado of the outbreak, struck the Ottawa neighbourhoods of Arlington Woods and Craig Henry at around 6:00pm. The estimated wind speeds of this tornado was up to 220 km/hr.
Four EF-1 tornadoes with wind speeds estimated between 138-177 km/hr touched down near Calabogie, ON; near the Baskatong Reservoir, QC, at around 3:30 pm (on the ground for 10 km); near Val-des-Bois, QC, at around 5:00pm (on the ground for 13 km); and near Otter Lake, QC, (on the ground for 3 km). In Quebec, the tornadoes caused $8.4 million in damages/losses to Hydro-Quebec.
Extensive building damage was reported – almost 1,700 housing units were damaged in Gatineau, and 160 buildings with serious structural damage in the City of Ottawa, in addition to apartment complexes and commercial businesses in both affected areas. The tornado outbreak caused $334 million in insured damage, with at least $192 million in eastern Ontario and $102 million in the Gatineau Region."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southern Alberta,"August 1, 2018","$80,000,000","A hail storm struck Calgary on July 23rd which created drifts of hail and large hailstones. The largest recorded hail stone was 64 mm in diameter – similar to the size of a tennis ball - measured in Bashaw, AB. 
Less than 2 weeks later, another series of severe storms with hail affected Alberta. On August 2nd a hail storm moved through the Calgary area with golf-ball sized hail (over 50 mm in diameter). In Alberta, there was $80 million in damage – a significant proportion of that was to vehicles. The line of storms continued into Saskatchewan and Manitoba. The storm also produced an EF-4 tornado that killed one person near Alonsa, MB."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southern Manitoba,"June 14, 2018","$20,000,000","On June 14th severe thunderstorms affected parts of southern Manitoba. These storms generated wind gusts of over 100 km/hr and baseball-sized hail as well as a tornado near Waskada, MB. The hardest hit areas were Morden, Winkler, Ninette and Manitou, MB."
Meteorological - Hydrological | Storm - Unspecified / Other,Southern Ontario,"May 4, 2018","$680,000,000","On May 4th, the Highway 401 corridor through southern Ontario and southern Quebec experienced a fast-moving squall line with wind gusts of over 100 km/hr. Wind speeds of 126 km/hr were recorded in Hamilton and 117 km/hr in Montreal. The windstorm caused widespread power outages, roof damage and downed trees. Over 925,000 customers across Ontario and Quebec were without power; some were without power until May 9. The windstorm caused a total of $680 million in insured losses, with at least $380 million in Ontario alone. This event is noted to be the most costly disaster in Ontario since the 2013 Toronto flood."
Meteorological - Hydrological | Storm - Unspecified / Other,"Eastern Ontario, Western Quebec","October 28, 2017",Unknown,"A few weather systems combined to create a significant low pressure system that moved over eastern Ontario as well as western and southern Quebec. From 3:00pm on October 28th to 1:00pm on October 30th, 112.5 mm of rain fell over Ottawa. As a result, there was significant pluvial/urban flooding within Ottawa and road washouts in western Quebec. Insurable losses were estimated to be $99.8 million (2017 CAD)."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Saskatoon,"June 2, 2017","$46,000,000","A fast-moving severe storm with ping pong-sized hail struck the Saskatoon area. Hail size varied across the city; the eastern neighbourhood of Willowgrove experienced loonie-sized hail while the downtown reported smaller hail sizes. At least 6,000 insurance claims were processed with a total of over $46 million in insured damages. Nearly half of the losses were in vehicle damages."
Meteorological - Hydrological | Storm - Unspecified / Other,"Sainte-Therese, Quebec","April 4, 2017",Unknown,"Heavy rain and snow melt caused flooding in the community and area of Sainte-Therese, QC. From April 4th to April 7th, 84.4mm of rain was recorded in the area. Riviere aux Chiens - a small river in the community - overflowed its banks and caused significant flooding in the neighbourhood. As a result, over 200 residents were displaced. Insurable losses were estimated to be $111.4 million (2017 CAD)."
Meteorological - Hydrological | Storm - Unspecified / Other,Southwestern Ontario,"March 8, 2017",Unknown,"On March 8th, a weather system with significant winds tracked over southern Ontario. Winds recorded in Windsor were 111 km/hr and 115 km/hr in Hamilton. As a result, there was widespread wind damage, bridge closures, and power outages. The insurable losses were estimated to be $110.9 million (2017 CAD)."
Meteorological - Hydrological | Storm - Unspecified / Other,Christmas Island NS,"December 25, 2016",Unknown,"Christmas Island NS, December 25, 2016. Residents of Christmas Island were left without power on Christmas morning due to a strong windstorm that blew in early in the morning. There were 21 reported power outages in the region affecting 3,346 customers in total (approximately 10,038 individuals). Power outages were reported as early as 5 am, with more power outages occurring periodically throughout the day. Areas affected by the power outages included Beaver Cove, Barrachois, French Vale, Bramber, Digby, Port Hawkesbury, Lower Sackville, East River and Mill Cove. Wind warnings were in effect for Sydney Metro and Cape Bretton county. The strong winds brought rain resulting in some localized flooding. Debris from the wind accompanied by the rain created poor driving conditions throughout the province. Nearly all power was restored later in the evening."
Meteorological - Hydrological | Storm - Unspecified / Other,South Coast and Lower Mainland British Columbia,"October 12, 2016",Unknown,"South Coast and Lower Mainland British Columbia, October 12-16, 2016. The remnants of Super Typhoon Songda hit British Columbia’s southern coast with a trio of fall storms. The first storm occurred on October 12 and pounded the coast with heavy rain before moving across the Lower Mainland early the next day. The storm brought 80 to 100 mm of rain to Howe Sound and Metro Vancouver. In North Vancouver, the heavy rain poured hard enough to down a tree, which damaged one residents home and a vehicle. The second and third storms arrived on October 14 and 15, which brought more strong wind and heavy rain to the region. A wind warning was issued for Greater Victoria, where there were wind gusts of up to 90 km/h. Powerful winds downed trees and power lines knocking out power to 75,000 B.C. Hydro customers (approximately 225,000 individuals) across Vancouver Island and the Lower Mainland. A fallen tree struck and killed a 15 year old by near Clayton Heights. In total, during the course of the three storms, there were 250 downed trees in Vancouver and 202 mm of rain had accumulated in North Vancouver."
Meteorological - Hydrological | Storm - Unspecified / Other,South Coast and Lower Mainland British Columbia,"October 6, 2016",Unknown,"South Coast and Lower Mainland British Columbia, October 6-8, 2016. Strong winds gusting up to 117 km/h battered eastern Vancouver Island, the Sunshine Coast and the Lower Mainland. On October 6, Vancouver reported wind gusts of 56 km/h, Victoria 36 km/h, and Sisters Island as well as Trail Island both recorded wind gusts of 117 km/h. Severe winds downed trees and power lines, which knocked out power to 100,000 B.C. Hydro customers (approximately 300,000 individuals). In eastern Victoria Island 29,000 people lost power over night. The most severely impacted area was Courtenay where 12,000 people were without power. At the peak of the storm, 45,000 people lost power throughout the province. By October 8, 13,000 people were still without power and strong winds continued to affect parts of the province."
Meteorological - Hydrological | Tornado,Long Plain First Nation MB,"July 20, 2016",Unknown,"Long Plain First Nation MB, July 20, 2016. An EF1 tornado touch downed in the community of Long Plain First Nation leaving a trail of destruction. The tornado that resulted from the upper-level low system that swept across the prairies uprooted trees and caused extensive property damage. In total, the tornado severely damaged 57 homes, while another 150 homes sustained moderate damages. In addition, the tornado caused damages to the Dakota Ojibway Police Service’s communications equipment. Approximately 600 residents were displaced from their homes and relocated to Winnipeg where they stayed in emergency accommodations. The storm system that accompanied the tornado downed hydro lines and poles, resulting in power outages. Over 18,000 Hydro customers (approximately 54,000 individuals) in Manitoba were without power. In Long Plain and surrounding areas, roughly 6,500 Hydro customers (approximately 19,500 individuals) lost power."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Prairie Provinces,"July 18, 2016","$102,739,000","Prairie Provinces, July 18-20, 2016. Southern regions of the Prairie provinces were overwhelmed by severe storms after weeks of bad weather. A storm system entered northward into southern Alberta where isolated thunderstorms developed along the Alberta foothills. On June 18, the storm eventually grew larger impacting Calgary, Medicine Hat and Dunmore with hail, heavy rain and strong winds as well as tornado warnings. On June 19, the storm system moved across Saskatchewan and Manitoba producing hail and prompting even more tornado warnings. In Saskatchewan, near softball sized hail pelted Stewart Valley and Davison, where a tornado briefly touched down resulting in minimal damages. Parts of southern Manitoba received less severe hail, however a more severe tornado touched down in Long Plain First Nation where there was extensive damages."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Alberta and Saskatchewan,"July 15, 2016","$70,468,000","Alberta and Saskatchewan, July 15-16, 2016. A storm system caused hail, heavy rain and flash flooding in parts of southern Alberta and southern Saskatchewan. On July 15, Lethbridge, Alberta was impacted by hail, while Calgary and Arbour Lake experienced localized flooding. On July 16, a torrential down pour consisting of 60 mm of rain in less than one hour hit the town of Swift Current, Saskatchewan, which caused flash flooding. In Alberta the hail damaged the roofs of homes, broke windows and dented vehicles. In Swift Current, flash flooding overwhelmed the city’s storm water system, which resulted in flooded basements and submerged vehicles."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Prairie Provinces,"July 8, 2016","$54,252,000","Prairie Provinces, July 8-11, 2016. Severe storms swept through the Prairies from July 8 to 11. On July 8, storms in Alberta impacted Edmonton, Calgary and Redwater where hail and heavy rain resulted in flash flooding. On July 10, the bad weather continued into Saskatchewan where 130 mm of rain fell causing significant flooding in Estevan prompting the declaration of a local state of emergency. There were also reports of numerous funnel clouds in Saskatchewan, including in Battleford and in Humboldt, where a small tornado briefly touched down for roughly 20 seconds. On July 11, the tail end of the storm system moved into Manitoba where some communities received up to 88.9 mm of rain, including Liyodminster, Yorktown, Humboldt and Watrous. The severe thunderstorms that swept through the Prairies resulted in property damage from hail and infrastructure damage from heavy rain, strong winds and lighting, including in Manitoba where wind gusts of over 100 km/h caused power outages due to fallen trees."
